INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20260311_1044,2026-03-11T20:14:36.255000,1.05436,U,9766,32.0,1.1,07 38 07.86,+38 53 41.8,71.49704831805649,50.55533402840031,9.999999999999998,15.328418730817592,4.851408257118338,9.999999999999998,15.328418730817592,2.2172519631245375,1.5000000000000002,0.12199078170632809,261,0.0,0.0
20260311_1045,2026-03-11T20:19:57.853000,1.04898,B,9766,32.0,1.1,07 38 07.86,+38 53 40.8,72.3996779426968,48.84508809654091,7.535869915008181,5.992027082727107,9.673850050632936,9.078716783889883,7.4758189596103914,9.135094007387035,2.207924411338564,0.12122588211164509,191,0.5169222542823445,0.7725642206777285
20260311_1046,2026-03-11T20:21:38.843000,1.04738,V,9766,32.0,1.1,07 38 07.86,+38 53 40.8,72.67816440073851,48.263344622525054,6.265005489015869,5.538321235016041,10.070688803761891,7.213429563363025,6.681389527123574,9.488797152278867,2.0065733297406814,0.048939782239182,258,0.021789748274812157,-0.18414302611015593
20260311_1047,2026-03-11T20:23:01.572000,1.04610,R,9766,31.9,1.2,07 38 07.86,+38 53 41.8,72.90424049623175,47.76912768758708,4.925993955070558,4.707334186423732,7.924556996873999,6.112187792124319,6.011108077220891,10.101318787157373,1.628075038395778,-0.025691268082010922,432,-0.019664408749402357,-0.21419330022271335
20260311_1048,2026-03-11T20:24:16.722000,1.04497,I,9766,31.9,1.2,07 38 07.86,+38 53 41.8,73.10819218165436,47.3072883065227,5.244539121229957,5.220687217490311,0.6016475969576671,6.145213870870075,6.074050252179725,1.7111569593822322,2.5933505103991332,0.05091698390909341,321,-0.111167225639525,-0.23450972181900218
20260311_1049,2026-03-11T20:34:02.221000,1.18258,U,9766,29.0,1.5,07 29 54.65,-02 04 00.9,57.69975401582932,158.50822967235476,6.158952943622009,5.6373434296558695,0.3527736663312355,7.12344323854702,6.399260679404003,1.457215434496403,3.5899580720539412,-0.006705153056317572,360,0.0,0.0
20260311_1050,2026-03-11T20:39:24.739000,1.17728,B,9766,27.4,1.7,07 29 54.65,-02 04 01.9,58.110877716067634,160.92179624038593,6.889541669646819,5.7732434957145395,0.33727804168261954,7.847247393335797,6.591746690771568,1.4796549504372214,4.308070551611493,-0.13016177386889619,510,0.11817910595534341,0.8602268782761094
20260311_1051,2026-03-11T20:41:05.152000,1.17578,V,9766,27.4,1.7,07 29 54.65,-02 04 01.9,58.229291244968636,161.68436319561212,6.011016302914895,5.456844201209431,0.3694572166344168,7.017045143795218,6.368058377274654,1.3283331868787833,3.6558300390307146,0.018846388371354404,564,-0.48992925897018724,0.03758864729421475
20260311_1052,2026-03-11T20:42:24.535000,1.17464,R,9766,27.4,1.7,07 29 54.65,-02 04 01.9,58.3195929814433,162.29081428417587,5.327705314696328,4.846025361630888,0.319608369714274,6.6487425924150685,6.045351514700415,1.4868774910145213,3.713655487291447,0.0024116880287721417,743,-0.9174969626577659,-0.10175947045571229
20260311_1053,2026-03-11T20:43:36.614000,1.17365,I,9766,27.4,1.7,07 29 55.65,-02 04 01.9,58.3979375938007,162.83647665900682,4.665882580327887,4.300470441251353,0.34122508467901014,5.890945565198422,5.2907128764803915,1.5999088087897375,3.531472644165768,-0.04334385477076476,724,-1.1559678824808344,-0.16138063220837467
