INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20230505_1113,2023-05-05T21:07:19.752000,1.01959,U,14115,6.1,6.7,10 07 43.75,+23 59 43.4,78.74172093039896,249.5401312578823,7.458762732534739,7.637360036674612,0.0,7.958553127812309,8.149117727391442,0.0,2.977571910454134,-0.6773191928103732,1,0.0,0.0
20230505_1114,2023-05-05T21:07:51.326000,1.01998,B,14115,6.1,6.7,10 07 43.75,+23 59 45.3,78.6330294077589,249.80678795857116,9.999999999999805,10.032483428959203,1.1962772301139122,6.753077735674283,6.761683157915821,0.1742353277971187,3.078666146658402,0.11617053047600052,11,0.0,0.0
20230505_1115,2023-05-05T21:08:19.621000,1.02033,V,14115,6.1,6.7,10 07 43.75,+23 59 43.3,78.53502831720803,250.03726006868948,8.168206224336183,7.516389963012337,0.28616303047935965,8.697708909255066,7.919672052062094,0.4967595545354113,3.622428089023107,-0.6282575423998266,16,0.0,0.0
20230505_1116,2023-05-05T21:08:49.339000,1.02070,R,14115,6.1,6.7,10 07 43.75,+23 59 43.4,78.43220641501641,250.27837396534298,7.051139362034737,6.510296200859598,0.6782833225114171,7.431900877337864,5.798104506473825,2.3304436318881683,3.866481871696907,0.1441250891772711,19,0.0,0.0
20230505_1117,2023-05-05T21:09:17.719000,1.02106,I,14115,6.1,6.7,10 07 43.75,+23 59 43.4,78.3338587971557,250.50501306953745,6.896461207422295,6.189329682354314,0.8691770069783651,7.644600646480934,7.118242605655681,1.0788110839410523,3.5319524569518213,1.59752139708059,21,0.0,0.0
20230505_1118,2023-05-05T21:12:22.011000,1.15032,U,14115,7.3,6.7,11 33 53.24,-00 01 36.2,60.34594642264726,162.1748789336186,7.484906126087689,8.774538544685994,0.0,8.176899964326282,9.585761358175505,0.0,2.3470210340125037,-0.7421792272141111,1,0.0,0.0
20230505_1119,2023-05-05T21:13:01.129000,1.14982,B,14115,7.3,6.7,11 33 53.24,-00 01 36.2,60.38961598674198,162.4934176592161,9.999999999999998,9.745871310631253,0.12510404113676543,9.345642887189925,9.108143289366934,0.07995832763051602,3.2533435409439133,-2.743560542223401,3,0.0,0.0
20230505_1120,2023-05-05T21:13:36.243000,1.14939,V,14115,7.3,6.7,11 33 53.24,-00 01 36.2,60.42816506134817,162.78007491322344,7.889805812641813,8.199776224134368,0.04860879350641589,8.276279188726493,8.616278436033973,0.08719635530491487,2.89082956391555,-1.1599013817593786,3,0.0,0.0
20230505_1121,2023-05-05T21:14:10.945000,1.14896,R,14115,8.6,6.6,11 33 53.24,-00 01 36.2,60.46565464260687,163.06403261457837,8.069195653261094,8.007078435516597,1.8319816789281882,9.999999999268546,8.79321373208047,7.333864795178544,2.558649770271777,-1.1503048168829415,22,0.0,0.0
20230505_1122,2023-05-05T21:14:42.593000,1.14859,I,14115,8.6,6.6,11 33 54.24,-00 01 36.2,60.498262404348246,163.3153821671725,8.22087956908721,7.963873840185458,0.8954112007942969,8.196701107765731,7.008429458478534,0.714115079500397,4.062879398494198,0.37526080298377074,22,0.0,0.0
