INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20230315_1056,2023-03-15T22:04:19.725000,1.84245,I,39900,21.5,13.2,13 16 40.78,+49 51 54.8,32.77481360271384,46.831138996395225,4.786528713691684,5.068494549263653,0.30678104043185694,6.0634365406618755,6.439026103405008,0.3923084635854357,2.793513098484434,0.16238491881345177,26,0.0,0.0
20230315_1057,2023-03-15T22:05:55.145000,1.82986,I,39900,21.8,13.3,13 16 40.78,+49 51 51.8,33.030809386230445,46.865801162045706,5.332114030717344,5.689306911423689,0.22347729004042538,6.2635613479948455,6.963606236057694,0.6613819955886209,2.8289593271577944,0.02333990710501349,25,0.05971667591454457,0.09136637135904949
20230315_1058,2023-03-15T22:07:30.155000,1.81739,I,39900,21.8,13.3,13 16 39.78,+49 51 52.8,33.2886364930654,46.897913617891476,5.26407301433414,5.300015815944447,0.20203974426715554,6.814404383970624,6.960431151785368,0.5350269363760951,3.0414884291676576,0.06049441530361564,26,-0.046917221098572784,-0.196703988153914
20230315_1059,2023-03-15T22:09:05.358000,1.80522,I,39900,21.8,13.3,13 16 39.78,+49 51 50.8,33.54435834337035,46.92930238741993,6.453379120644776,6.357357444617524,0.20830338550276473,8.832477734797408,8.425052981302546,0.3722039355988809,3.2238534285323706,0.09114917477057902,20,-0.03384870755578959,0.07467363122325969
20230315_1060,2023-03-15T22:10:40.554000,1.79324,I,39900,21.8,13.3,13 16 39.78,+49 51 50.8,33.8002439798417,46.95857941327419,5.640840634611563,6.013261125187503,0.23223744318497097,7.791443300436691,8.183296380004197,0.34505224718569494,2.6883316009840956,0.07012829085641305,19,0.12324864385657884,0.22383564483050714
20230315_1061,2023-03-15T22:12:16.134000,1.78140,I,39900,22.0,13.2,13 16 39.78,+49 51 48.8,34.057232576839844,46.98717274165722,5.173709986118229,5.435587194508868,0.11303698696564801,6.529553738062839,6.711244983783896,0.6451010758517635,2.899408747381377,0.02691009967843344,24,-0.20943597130256877,-0.010212661722047415
20230315_1062,2023-03-15T22:13:51.017000,1.76983,I,39900,22.0,13.2,13 16 39.78,+49 51 49.8,34.31253428601129,47.01309225514252,5.636613881172663,5.892707536513109,0.18635972165946235,7.255537085482386,7.615756645521151,0.6455466927155307,2.901765321291197,0.07887969249435703,22,-0.2971201102002406,0.06388635679195977
20230315_1063,2023-03-15T22:15:26.804000,1.75845,I,39900,22.0,13.2,13 16 40.78,+49 51 49.8,34.567673483924686,47.03784257041288,5.288985511536989,5.465351732585488,0.10400767971962566,7.237395780642786,7.4058378629352415,0.532581073624443,2.9354800825924316,0.03927044977037647,24,-0.2925016482958758,-0.042295342332669524
20230315_1064,2023-03-15T22:17:01.651000,1.74713,I,39900,22.0,13.2,13 16 39.78,+49 51 47.8,34.82569740937446,47.062036156655836,7.153007509986231,6.317313596084264,0.15498897819491564,8.125772225835886,6.95025315076803,0.581739961534474,3.937546758869806,0.12710089540819117,19,0.3467048176827047,-0.27338582162039554
20230315_1065,2023-03-15T22:18:36.942000,1.73604,I,39900,22.4,13.1,13 16 39.78,+49 51 45.8,35.0823388897692,47.084574979385145,6.639182121969071,5.737747645406273,0.34969685603231415,6.856157040258631,5.892190656184608,0.2215667211359369,4.0670965182629555,-0.3377477845509358,30,0.2188974723356296,-0.36766814619606975
20230315_1066,2023-03-15T22:20:11.793000,1.72528,I,39900,22.4,13.1,13 16 40.78,+49 51 45.8,35.33524252335329,47.1046101309531,5.722791293637182,5.430434355086211,0.28614439809042835,6.576400588887224,6.198275157150537,0.3658843987469851,3.336546352001891,0.009029646320823601,31,0.25509561790924784,-0.3407512984386524
20230315_1067,2023-03-15T22:21:46.745000,1.71457,I,39900,22.2,12.7,13 16 40.78,+49 51 43.8,35.59114671180992,47.124039460601324,5.810840604632852,5.695385416608577,0.3310340152357476,6.150636210780692,6.074642114448659,0.24438134715276671,3.1859619445069858,-0.42741316653859174,26,0.45242248958282155,-0.3419404775441556
20230315_1068,2023-03-15T22:23:21.926000,1.70387,I,39900,22.2,12.7,13 16 39.78,+49 51 44.8,35.8504749295539,47.141113456981756,6.275743587201243,5.619303834384412,0.3151837099390935,6.294081692558181,5.863422344831072,0.30066491136550866,3.6204742406114785,-0.11639191928029896,25,-0.3523894076266893,-0.4431146290825666
20230315_1069,2023-03-15T22:24:57.468000,1.69353,I,39900,22.2,12.7,13 16 40.78,+49 51 42.8,36.10543825078365,47.157350787343674,6.355098070622363,5.48305875009709,0.2831041440610127,7.3073630432381655,6.3310912778004305,0.12577022461256337,4.253617041312392,-0.10977001878241241,30,0.23539832997917984,-0.36646530978406544
20230315_1070,2023-03-15T22:26:32.876000,1.68313,I,39900,22.0,12.8,13 16 39.78,+49 51 42.8,36.36549744911243,47.171604314430716,5.297773946280656,5.195414179054189,0.34762306703620904,5.735751029466448,5.853119466427136,0.41923141730034796,3.168217426322879,-0.045151986508784256,27,0.10889150091525313,-0.3678467980705109
20230315_1071,2023-03-15T22:28:07.947000,1.67314,I,39900,22.0,12.8,13 16 40.78,+49 51 43.8,36.619345993752546,47.18357774112493,6.285533037081087,5.20794347196149,0.27798035431713153,7.199879631217239,5.944087483237901,0.2438892457547217,4.32970329286117,0.028591022152427543,31,0.4962880175074852,-0.4431238555778605
20230315_1072,2023-03-15T22:29:43.551000,1.66314,I,39900,22.0,12.8,13 16 40.78,+49 51 41.8,36.87733522799982,47.195174755351225,6.292945062873881,5.213915640086651,0.3014182731992934,6.964400012251956,5.80081106355785,0.27286683960329583,4.212267032495554,-0.07976564876203546,31,0.36736212831467946,-0.3357123082693531
20230315_1073,2023-03-15T22:31:19.056000,1.65330,I,39900,22.0,12.8,13 16 40.78,+49 51 41.8,37.135120078398494,47.20442341354209,5.652005880510492,5.00479294942348,0.3622424285623689,6.268072879565924,5.531103754181509,0.2613579380457809,3.9759542508249037,-0.04392916696167706,36,-0.06670058498030267,-0.4140170229746236
20230315_1074,2023-03-15T22:32:54.653000,1.64350,I,39900,21.6,12.8,13 16 39.78,+49 51 39.8,37.395861659994594,47.21279005204317,6.581802182289214,5.238533171362434,0.27350735716775887,7.227901278725044,5.821174833259467,0.13455009613338031,4.639821927752042,-0.12521281350647098,34,0.4234841426646408,-0.31581071586547116
20230315_1075,2023-03-15T22:34:29.481000,1.63412,I,39900,21.6,12.8,13 16 40.78,+49 51 39.8,37.64919936133915,47.21859058414288,5.881721283557111,5.373083521070981,0.3985211945580893,6.263067177581779,5.585588646268126,0.37669959221436855,3.8267006417599116,-0.5625497728877715,37,0.30443078756943986,-0.3389582044298063
20230315_1076,2023-03-15T22:36:04.623000,1.62475,I,39900,21.1,12.8,13 16 40.78,+49 51 37.8,37.90608484950522,47.223508296035256,7.7950261499273665,6.101365817266649,0.22624390542801187,7.5650417798238685,6.127239573272062,0.2979577659760215,4.880255505468279,-0.279104074711802,27,0.09983149723792212,-0.44436129312195954
20230315_1077,2023-03-15T22:37:39.753000,1.61551,I,39900,21.1,12.8,13 16 40.78,+49 51 38.8,38.16296280371607,47.225670692417154,6.487371352070296,5.373979242295242,0.3131784897514347,7.137940379485976,6.072707847567598,0.26466077615081485,4.189364925101562,-0.0010926151893043909,33,0.2891303545158044,-0.30931496311904083
