INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20230424_1087,2023-04-25T01:08:50.093000,1.05757,OPEN,14151,12.3,12.4,13 47 24.90,+10 21 53.2,70.98883507635175,199.5255232353642,5.3048745635618815,4.913276829774848,0.19055882273419567,7.050225262429622,6.634472040534552,0.5410497896783557,3.3713866925470963,0.20992846473500215,50,0.0,0.0
20230424_1088,2023-04-25T01:09:58.899000,1.05812,OPEN,14151,12.4,12.5,13 47 24.90,+10 21 53.2,70.90251856896373,200.35073839634197,3.685444765113684,4.253687315563123,0.32342111955562736,4.830130341057607,5.512452112215118,0.4888111647730975,2.4181995985398372,0.19776129293962186,55,0.2564245308408556,0.2522090817956241
20230424_1089,2023-04-25T01:11:07.691000,1.05869,OPEN,14151,12.4,12.5,13 47 24.90,+10 21 53.2,70.81281719740798,201.16873660449488,3.565714598334067,4.318978225785084,0.29521799481989763,4.184824211004305,5.211243871199968,0.3682047133458788,2.188200696964645,0.07051164309781079,51,0.19682440597008327,0.3427619114071217
20230424_1090,2023-04-25T01:12:16.933000,1.05929,OPEN,14151,12.4,12.5,13 47 24.90,+10 21 53.2,70.71914183141239,201.98479788504343,3.6238412992880784,4.6236291963614455,0.23793682485901257,4.560738764615921,5.796991797398446,0.4168312761183497,2.101630203951208,0.02094202248848802,52,0.2505830613339135,0.4475114242719919
20230424_1091,2023-04-25T01:13:26.912000,1.05993,OPEN,14151,12.3,12.5,13 47 24.90,+10 21 53.2,70.621067114952,202.801955773557,3.171439063723449,4.047156320889317,0.22788341077566,4.204104076911198,5.285599419595208,0.40577489025512214,2.0024804145152166,-0.02957646880071458,53,0.31378163932317377,-0.04757757727634999
20230424_1092,2023-04-25T01:14:36.990000,1.06059,OPEN,14151,12.3,12.5,13 47 24.90,+10 21 54.2,70.51973722959191,203.61277424698574,3.283656359240195,4.053115801047083,0.25848410652382503,3.801383650860092,4.626661994506714,0.3709212334483247,2.142263609442855,0.028475018864901613,64,0.22104477748533713,0.2800973352358044
20230424_1093,2023-04-25T01:15:45.897000,1.06126,OPEN,14151,12.3,12.5,13 47 25.90,+10 21 54.2,70.41812038464158,204.3906611120047,3.8542121559697495,4.435251022959843,0.24656013558408407,4.402323624396261,5.087641388157378,0.5573949340767799,2.4184055894483434,0.04221178881461571,54,0.09796880353674578,0.3053287291291258
20230424_1094,2023-04-25T01:16:54.720000,1.06197,OPEN,14151,12.3,12.5,13 47 24.90,+10 21 54.2,70.3104337085979,205.1825278586068,3.7677395412025403,4.576263206774329,0.24485100852787767,4.20972146400176,5.169241946155475,0.3728306148490068,2.237894909718829,0.1400055384118272,50,0.31695678886966383,0.047214436750838105
20230424_1095,2023-04-25T01:18:03.570000,1.06269,OPEN,14151,12.3,12.5,13 47 24.90,+10 21 54.2,70.20111669730225,205.95546305834094,3.6142523108292792,4.299533404028031,0.2899803532651175,3.8986621937641406,4.885813367867766,0.5381823960116705,2.2194644845998006,0.07906290040236937,57,0.3756459396457317,0.1473714281449038
20230424_1096,2023-04-25T01:19:12.807000,1.06344,OPEN,14151,12.2,12.5,13 47 25.90,+10 21 54.2,70.08975577243915,206.7136896920892,3.523086749394222,4.232573046781535,0.24989786083823873,4.514435849224265,5.583296777335348,0.4579224029932112,2.2259497981137857,0.2388748843451254,55,0.2454190562487479,0.5292383205694946
20230424_1097,2023-04-25T01:20:21.992000,1.06423,OPEN,14151,12.2,12.5,13 47 24.90,+10 21 54.2,69.97213972726786,207.4852321431589,4.290312255554726,4.609582064110655,0.22013478090708105,5.764246569718868,6.1382274514401,0.2717434662033309,2.739226492719637,0.09870128941442897,45,0.415707068333787,0.23145780410881617
20230424_1098,2023-04-25T01:21:31.698000,1.06504,OPEN,14151,12.2,12.5,13 47 24.90,+10 21 54.2,69.85228853511867,208.24319530846387,3.3734863886946025,4.214597304399251,0.2522655750789662,3.9051608551139,4.899343983405052,0.4563232570548177,2.169755487652986,0.19907319856633754,60,0.335177900717983,0.0031596894006215735
20230424_1099,2023-04-25T01:22:41.658000,1.06587,OPEN,14151,12.2,12.5,13 47 25.90,+10 21 54.2,69.73079357512188,208.98483608458406,4.169191726356084,4.610743320655275,0.24531612015935522,4.921187976511038,5.445589779644649,0.2919875030615602,2.61303307078258,0.05950870165954908,55,0.23365538921604845,-0.015285532302318189
20230424_1100,2023-04-25T01:23:50.890000,1.06673,OPEN,14151,12.2,12.5,13 47 25.90,+10 21 54.2,69.60594794632466,209.72106390771563,3.5453567192027506,4.130587876528468,0.3027799024548772,4.940306305024241,5.699083907950733,0.3886613626451565,2.38358556650828,0.10901118404986596,54,0.44153364241390136,0.6786041639432142
