INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20230302_1105,2023-03-02T20:31:31.144000,1.00860,I,39900,52.2,6.1,05 35 58.55,+24 45 03.9,82.5051853432982,243.57293506305487,6.283561015372971,5.475313958683779,0.3513599054127017,6.533627900990631,5.5818465912518755,0.5097180959015128,3.8568492544994166,-0.014775790658679221,157,0.0,0.0
20230302_1106,2023-03-02T20:32:34.540000,1.00910,I,39900,52.2,6.1,05 35 58.55,+24 45 03.9,82.2955345306654,244.46425473307139,5.875873298869889,5.272215862147734,0.29865825057785056,6.079320476543432,5.390525970092297,0.37818211963660975,3.8263606511703845,-0.11781274335760648,153,0.1594578785640847,0.2016971004388645
20230302_1107,2023-03-02T20:33:48.309000,1.00969,V,39900,51.0,6.1,05 35 58.55,+24 45 03.9,82.04966847434221,245.44605589351517,5.872739602813255,5.563677090751483,0.21900096595123753,6.291646957935333,5.835663402526283,0.3351731808391154,3.6016676057288732,0.052926911531639545,76,0.2803587064183812,0.03051143359657226
20230302_1108,2023-03-02T20:34:35.092000,1.01009,V,39900,51.0,6.1,05 35 57.55,+24 45 03.9,81.88941103487545,246.05247269667166,6.282643705963437,5.4907974184274675,0.2376785712095293,6.808181236428726,5.769464915643962,0.35457897708888453,3.991041325130266,-0.18537047332835274,74,0.021992469078483283,-0.08204183385792317
20230302_1109,2023-03-02T20:35:35.564000,1.01060,R,39900,51.0,6.1,05 35 58.55,+24 45 04.9,81.68901743092992,246.77860949657898,6.6751817504183935,5.492737881748808,0.2897673520589965,7.062747202945023,5.803458069570049,0.3240312582317664,4.427991805729847,-0.39048896604412514,97,0.14737799245610972,-0.19981781802970341
20230302_1110,2023-03-02T20:36:19.910000,1.01099,R,39900,51.0,6.1,05 35 58.55,+24 45 04.9,81.53880597955259,247.29815487848845,6.327538522361342,5.171315901458209,0.2907987802059955,6.954383218263572,5.817874841687561,0.3335400302990301,4.662792711637075,-0.14423210067537012,109,0.17905023978745227,-0.06932102404912757
20230302_1111,2023-03-02T20:49:09.536000,1.55018,I,39900,49.7,6.2,02 22 40.80,+43 01 45.7,40.09935919132944,304.17937824225214,5.192304172652113,5.173046511227353,0.22830578651894307,5.660079700976992,5.624742980617558,0.3712163072835386,3.089987850901919,0.5066769292026994,235,0.0,0.0
20230302_1112,2023-03-02T20:53:36.619000,1.57665,B,39900,50.0,6.2,02 22 41.80,+43 01 46.7,39.289923811900984,304.2499165841837,6.326718371805565,5.910146681392142,0.22660655461228174,6.904360260583818,6.509522086513407,0.2913047863476743,3.4691640446760887,0.30299271467372013,78,0.42747950270730234,-0.824755216748948
20230302_1113,2023-03-02T20:57:41.270000,1.60217,R,39900,49.9,6.2,02 22 40.80,+43 01 48.7,38.54332970337067,304.32618215541584,5.062619316735651,5.046228070764098,0.22307888612181692,5.63395634631245,5.528929443019319,0.36716785716921674,3.0977013717228257,0.43718763519061826,208,0.0821939180607858,-0.33902525603697087
20230302_1114,2023-03-02T21:06:24.701000,1.80881,R,39900,49.4,6.2,02 38 39.82,+16 36 54.4,33.472318486625234,272.03814593196756,9.086334215993187,7.130083815103688,0.261476509515548,9.121155548585618,7.180989450114879,0.46833680023487023,4.999999999957738,-0.05186375395916305,38,0.0,0.0
20230302_1115,2023-03-02T21:14:14.966000,1.89532,B,39900,49.6,6.2,02 38 40.82,+16 36 58.4,31.74809181913297,272.92113758842453,7.3761851972427515,6.409260340204577,0.14414712507544447,8.440371911785427,7.487453224726792,0.4165784254539231,4.061339146051152,0.039158176333909,18,-0.06720843265255098,-0.7218951195055381
20230302_1116,2023-03-02T21:23:11.843000,1.43022,R,39900,50.2,6.2,03 19 49.69,+41 30 17.4,44.30001097282319,301.86720247501495,5.748093727075298,5.184949949241734,0.4429971475708756,5.992921154753194,5.476747623411979,0.3589998438369495,3.5442203279153404,0.4932442846261762,198,0.0,0.0
20230302_1117,2023-03-02T21:25:56.589000,1.44359,R,39900,50.2,6.2,03 19 48.70,+41 30 17.5,43.7822627017684,301.88416642167505,5.49089594327328,4.874835852417222,0.46987607802553377,5.987554550639603,5.367401445472647,0.43938124209655527,3.61685210106098,0.539767709215456,218,-0.08844675676757743,0.09001855377902848
20230302_1118,2023-03-02T21:29:12.824000,1.45982,I,39900,51.0,6.1,03 19 49.69,+41 30 19.5,43.1724856275728,301.9117798655214,4.957450057700511,4.683433543437546,0.4782128728062567,5.2273598594477235,4.902785649746893,0.4621565095101454,3.172969253839951,0.5252807402359742,292,-0.2661278873913174,0.4093189928363206
20230302_1119,2023-03-02T21:32:47.972000,1.47831,I,39900,50.3,6.1,03 19 49.69,+41 30 18.5,42.50075790828754,301.94943157857296,5.035157238260511,4.738994100335181,0.4055208231709848,5.250165663250485,4.8598930661371265,0.5201484018882647,3.3307110432478413,0.41217951948731985,293,-0.23575913150532052,0.4235149392378621
20230302_1120,2023-03-02T21:40:34.732000,1.57573,I,39900,49.9,6.2,04 23 15.40,-01 20 32.1,39.32123532249434,241.6989861510452,4.622561330491371,4.216204757747086,0.3382029827437556,4.633778423709078,4.245202129562453,0.37293536897402113,3.6507330889341607,0.6147951479252542,96,0.0,0.0
20230302_1121,2023-03-02T21:44:05.695000,1.59897,B,39900,49.9,6.2,04 23 16.40,-01 20 32.1,38.63889660276436,242.40780019989938,6.95848965215853,5.569595977538196,0.6891757828866361,6.7812579145696645,5.498928269725683,0.6940939663947141,4.999999999998475,2.0631125020085785,38,0.8431347118670435,-0.7644398840578451
20230302_1122,2023-03-02T21:46:52.881000,1.61824,R,39900,50.0,6.2,04 23 16.40,-01 20 30.1,38.09278763525301,242.9629262823344,5.10646216013726,4.23737373951894,0.2996642052582619,5.504047759766829,4.522579457962921,0.32720450590061567,4.451107806929016,0.30029458709813256,70,-0.28614295242689697,-0.522587376330293
20230302_1123,2023-03-02T21:48:38.741000,1.63080,R,39900,50.0,6.2,04 23 16.40,-01 20 28.1,37.74572752399377,243.31024594150648,5.387110390283303,4.398376330964005,0.2597322888004747,5.70511440359909,4.63612115215618,0.27813404733040237,4.827853358103079,0.3194381468567147,64,-0.3406519858575091,-0.3987655978236073
20230302_1124,2023-03-02T21:50:23.471000,1.64353,R,39900,50.0,6.2,04 23 16.40,-01 20 28.1,37.40099348617845,243.65004266059557,5.562998162599666,4.656200069647818,0.1904421383045376,6.1498734396174,5.155799694646013,0.21658057819394738,4.185430432014597,0.39407570598202923,58,-0.15229196174283152,-0.6353969713925198
20230302_1125,2023-03-02T21:52:08.328000,1.65658,R,39900,50.0,6.2,04 23 16.40,-01 20 28.1,37.05483018229563,243.98705473105028,5.143391365161525,4.3144725682674885,0.3584544427400953,5.446157107721319,4.5312327070234755,0.3077221816906617,4.52566551373018,0.25336419236332575,66,-0.2231066399748163,-0.4116093638659695
20230302_1126,2023-03-02T21:53:53.082000,1.66978,R,39900,50.0,6.2,04 23 17.40,-01 20 26.1,36.711658160118084,244.31798064683895,5.130522354657716,4.344579760514675,0.2452174327089054,5.594014836743922,4.658522124047865,0.29544472628325913,4.2456743827906065,0.3662482600690929,65,-0.15531096665229235,-0.5674367042171721
