INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20240730_1100,2024-07-30T21:40:51.399000,1.39566,V,12950,13.4,19.1,20 39 50.39,+42 22 45.9,45.70628431810845,56.895608929354296,5.940986764712271,4.742682250910216,0.5381241915904047,6.363588823304589,5.161743951645376,0.47327126412504583,4.999999999688464,0.2948099359993081,130,0.0,0.0
20240730_1101,2024-07-30T21:41:47.023000,1.39162,R,12950,13.4,19.1,20 39 50.39,+42 22 46.9,45.877683979021405,56.890488516816404,4.939195709612973,4.196323153305205,0.5120265620601945,5.3023543393620045,4.545274202880569,0.46541811435030667,4.338942698488241,0.2159628609054354,163,0.05512975559438291,-0.050729483235700853
20240730_1102,2024-07-30T21:42:28.278000,1.38872,I,12950,14.2,19.2,20 39 51.38,+42 22 46.9,46.0017574671144,56.88661926588418,4.723245273120137,4.133828510607023,0.5876945426195554,4.996789837422889,4.491271022628272,0.5082384417476122,4.001047367904286,-0.11738301180537698,271,-0.12119971048875323,-0.2072258172230304
20240730_1103,2024-07-30T21:55:58.812000,1.29419,V,12950,13.7,18.9,20 29 33.58,+40 20 32.2,50.54357608884127,59.68814568472306,6.567771795084951,5.171413834442689,0.5760446116523097,6.743890462909635,5.318469665905121,0.5210401076136861,4.999999999997563,-0.02359250457076819,305,0.0,0.0
20240730_1104,2024-07-30T21:59:49.780000,1.28085,R,12950,13.7,18.9,20 29 33.58,+40 20 31.1,51.27684683296559,59.61769727376922,5.852074228907613,4.638745804442898,0.5924421372986757,6.140962558670177,4.8871246578432075,0.38297077401724433,4.999999999994151,0.06705194738468558,382,-0.07429819024105973,-0.14341208700351898
20240730_1105,2024-07-30T22:01:41.010000,1.27455,I,12950,13.7,18.9,20 29 32.58,+40 20 32.1,51.63291450463488,59.57732017833156,5.851057430289929,4.684511268670537,0.7058851027406261,5.9661658181485295,4.7755107049193075,0.46781312462819624,4.999999999881257,0.04522520211149263,732,-0.11661880631222357,-0.45523525952941557
20240730_1106,2024-07-30T22:05:46.155000,1.26122,V,12950,14.4,18.9,20 29 33.58,+40 20 30.1,52.40705691348416,59.47841204771812,6.372264644551613,4.9827498470951435,0.6328511283563101,6.577875328657317,5.202516393884122,0.4829389221895468,4.999999999997774,-0.08758608505406679,279,0.0013525872284169509,0.03171108429073411
20240730_1107,2024-07-30T22:09:38.131000,1.24903,R,12950,14.4,18.9,20 29 33.58,+40 20 29.1,53.14179762483766,59.36696585134713,5.610733725696262,4.466480126562213,0.6155934297012697,6.108880040309545,4.8225082636880545,0.4320638243708226,4.999999999995988,-0.037614162145114365,365,0.02085116950230281,-0.19494483807199095
20240730_1108,2024-07-30T22:11:28.863000,1.24337,I,12950,14.4,18.9,20 29 33.58,+40 20 29.1,53.49219525348379,59.307418636211054,5.16465952173589,4.139314455367787,0.7170989113775699,5.301505153873173,4.243253467186256,0.46400601713345857,4.999999999890065,-0.0011630229120516496,767,0.1557117428160027,-0.2857055767497013
20240730_1109,2024-07-30T22:15:34.670000,1.23117,V,12950,14.9,18.8,20 29 33.58,+40 20 30.1,54.269167547592794,59.15995335042034,5.765300736583146,4.570223922288655,0.5629538878914078,6.1049113521193386,4.881980674761018,0.5670155031068518,4.999999999992141,-0.052718709864731775,289,0.02652312029966288,0.026851775189645422
20240730_1110,2024-07-30T22:19:26.402000,1.22015,R,12950,14.9,18.8,20 29 34.58,+40 20 26.1,54.99750509970091,59.00443138594594,5.51872831325567,4.399650672388425,0.40070828025219374,6.140128807803803,4.927329644419803,0.36095016097681665,4.99999999940975,-0.0708444586029654,356,0.20242746769472797,-0.15220121600518904
20240730_1111,2024-07-30T22:21:16.767000,1.21497,I,12950,14.9,18.8,20 29 33.58,+40 20 27.1,55.34849251508828,58.9209375287172,5.538488315213093,4.413262874970029,0.47855786333330386,6.112212187634716,4.888960779060485,0.4875418684126105,4.999999999904131,-0.23796840380491033,749,-0.1361316871836973,-0.48364014326292865
20240730_1112,2024-07-30T22:27:28.898000,1.19831,V,12950,18.9,19.0,20 29 32.58,+40 20 25.2,56.522289886500815,58.60823677931609,6.540216122619798,5.167738545784245,0.6366130653378015,6.751249311500425,5.374831813391275,0.46261601457462476,4.999999999987295,-0.043287274555287934,279,0.0,0.0
20240730_1113,2024-07-30T22:31:21.238000,1.18848,R,12950,22.3,19.6,20 29 33.58,+40 20 27.2,57.24781012172806,58.383639752646744,5.408951147586989,4.619816009899633,0.5102131120297662,5.713173270996688,5.0583702774208055,0.4720455261694294,4.114060773644108,0.11911764855799262,359,0.0,0.0
20240730_1114,2024-07-30T22:33:01.315000,1.18431,I,12950,22.3,19.6,20 29 32.58,+40 20 27.1,57.56427838963548,58.278594054219525,5.320499547164443,4.828108596888116,0.6299169513613565,5.627062385567047,5.143332910433094,0.5150605128589953,3.6788108862505937,-0.0879508346734553,625,0.0,0.0
20240730_1115,2024-07-30T22:36:55.308000,1.17494,V,12950,21.2,19.8,20 29 33.58,+40 20 25.2,58.29244654269394,58.0192136413123,6.156189052420469,4.859190603052433,0.5266091313844905,6.280442831965566,5.000284466613915,0.5915706489535237,4.999999999986277,-0.15242675348180534,305,0.0,0.0
20240730_1116,2024-07-30T22:40:47.034000,1.16598,R,12950,21.2,19.8,20 29 33.58,+40 20 27.1,59.014301091079666,57.73303454758921,5.781242065852372,4.627175435307963,0.5385912538385726,6.293239553308727,5.046888549624823,0.44328545258482244,4.999999999916837,-0.37791141825981317,373,0.0,0.0
20240730_1117,2024-07-30T22:42:27.243000,1.16222,I,12950,21.2,19.8,20 29 33.58,+40 20 25.1,59.32590480292158,57.60223812996254,5.068750536936474,4.292648706265224,0.6118000560083816,5.3749072660053345,4.604932308600857,0.511938566716907,4.2253055522857,0.2090035249242637,640,0.0,0.0
20240730_1118,2024-07-30T22:46:20.640000,1.15369,V,12950,24.4,20.2,20 29 33.58,+40 20 25.2,60.04955510415739,57.27406670276864,6.123436871663601,4.84983935217145,0.5830070666532441,6.211227127262517,5.0047222191317875,0.9004305332566807,4.9999999999744205,-0.030919007975655437,328,0.0,0.0
20240730_1119,2024-07-30T22:50:12.400000,1.14556,R,12950,24.4,20.2,20 29 33.58,+40 20 24.1,60.76545727612824,56.91818430388261,5.585147371979266,4.539508422819475,0.7171546494496805,6.000035805051283,4.780210607169462,0.5144746563795763,4.999999993756699,-0.06303454970246257,408,0.0,0.0
20240730_1120,2024-07-30T22:51:53.137000,1.14212,I,12899,24.4,20.2,20 29 33.58,+40 20 24.1,61.07567525684454,56.75318875074143,4.300274952101607,4.506604663793246,0.35346130399097575,5.042362839340191,5.408136594794346,0.6649071068325512,2.885586578477067,0.1860191724892257,493,0.0,0.0
20240730_1121,2024-07-30T22:55:46.744000,1.13439,V,12899,22.4,20.1,20 29 33.58,+40 20 25.1,61.792651548329026,56.3452673583726,5.581244091059149,5.146898792316394,0.2147252888599498,6.540024661199382,6.1941798457464055,0.5390039959444701,3.5356019746201515,0.08138294452884345,215,0.0,0.0
20240730_1122,2024-07-30T22:59:38.915000,1.12705,R,12899,15.7,19.4,20 29 34.58,+40 20 23.1,62.498900681416394,55.907331503109184,3.8697896416038065,4.348067281885515,0.2635460778508598,4.746615747895253,5.420303740726634,0.5596668450337567,2.511441137718935,0.2883484656931741,317,0.0,0.0
20240730_1123,2024-07-30T23:01:19.098000,1.12393,I,12899,17.5,19.1,20 29 33.58,+40 20 24.1,62.80669674588175,55.70270368425874,3.3623227477072417,3.7908677758505136,0.39650270286811073,3.9203682906471315,4.480548331380014,0.717966544104577,2.5390743654777648,0.18784479781450208,629,0.0,0.0
20240730_1124,2024-07-30T23:05:12.999000,1.11696,V,12899,17.1,19.0,20 29 34.58,+40 20 24.1,63.512420955364156,55.20383690387817,4.225830734732938,4.1287286662359035,0.367317674606523,5.138731707769882,5.195338405838641,0.5308601403286239,3.22263057573776,0.12144110374842558,285,0.0,0.0
20240730_1125,2024-07-30T23:09:04.471000,1.11033,R,12899,17.1,19.0,20 29 34.58,+40 20 23.1,64.20950642308615,54.66603960775215,3.521387859684916,3.661575923843701,0.285854257412832,4.439118011266168,4.7075023037036985,0.6381756030043633,2.883820988528891,0.12425660194285987,378,0.0,0.0
20240730_1126,2024-07-30T23:10:46.054000,1.10751,I,12899,17.1,19.0,20 29 34.58,+40 20 24.1,64.51380014033467,54.41494443750221,2.7622264272711385,3.408801087755543,0.4923180870069741,3.2375825374394314,4.024638132874231,0.6007474673442754,2.2114451788463216,0.22252988802916313,774,0.0,0.0
20240730_1127,2024-07-30T23:14:41.862000,1.10117,V,12899,21.4,18.9,20 29 34.58,+40 20 24.1,65.21657795369559,53.79801216161691,4.979303654816353,4.726836353850965,0.2859842620708406,5.4771575420058145,5.299048672598398,0.5385459406456095,3.3084394051439006,0.15171088086642098,259,0.0,0.0
20240730_1128,2024-07-30T23:18:33.737000,1.09522,R,12899,21.4,18.9,20 29 34.58,+40 20 23.1,65.90213409374094,53.14067658534984,3.685137219921757,3.8802340026511475,0.3904445283821625,4.604758283094142,5.009918552223465,0.6341231809302901,2.8441178238569753,0.10553566725025587,376,0.0,0.0
20240730_1129,2024-07-30T23:20:14.265000,1.09272,I,12899,21.4,18.9,20 29 34.58,+40 20 23.1,66.19744303075619,52.83862925992559,2.9776721976161995,3.449835659945259,0.4516353790019174,3.9478298780141525,4.704614087092212,0.8351608464480478,2.384991333987417,0.13393564313662382,665,0.0,0.0
20240730_1130,2024-07-30T23:24:07.771000,1.08711,V,12972,15.8,18.9,20 29 34.58,+40 20 21.1,66.87889952281208,52.096669371195624,4.390838031963369,4.170753793718603,0.29728446321707214,5.033050407085534,5.016820618377961,0.45907087272703073,3.221905074777744,0.1093827174539597,279,0.0,0.0
20240730_1131,2024-07-30T23:28:00.296000,1.08181,R,12972,22.3,19.1,20 29 35.58,+40 20 22.1,67.54720750084228,51.29791592667503,6.361394643375558,5.589582391684356,1.4951223236765125,6.039004460727973,4.729372648110758,2.0832240322279967,4.999999999992969,0.22520924631196898,528,0.0,0.0
20240730_1132,2024-07-30T23:29:41.210000,1.07960,I,12949,22.3,19.1,20 29 36.57,+40 20 23.1,67.8332292705098,50.93278516398864,6.426966722984273,5.849782204230531,2.2437571700766004,5.907202246916945,5.088785381591975,2.434197572105406,4.99999999999082,0.25945386736273324,895,0.0,0.0
