INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20250930_1060,2025-09-30T20:06:06.982000,1.02206,SDSSu,10820,13.1,12.2,20 20 25.67,+21 05 00.1,78.06242554885165,124.3369391600715,4.705737787080961,5.077790161711358,0.2943003447136858,5.084920044053794,6.03626395151436,1.0084984026048334,2.6552036174862286,-0.04825668291329522,28,0.0,0.0
20250930_1061,2025-09-30T20:06:42.831000,1.02165,SDSSu,10820,13.1,12.2,20 20 25.67,+21 05 00.2,78.1710622960849,124.7632699414992,5.500775282113433,5.330392142117817,0.1973859136498577,6.178226480236662,6.636512626382415,1.1244836811790586,3.225054533865999,0.23214403207896392,25,0.20585653631549214,-0.03242503505236891
20250930_1062,2025-09-30T20:07:18.448000,1.02125,SDSSu,10820,11.6,12.2,20 20 25.67,+21 05 00.2,78.27841973210562,125.19414130555417,4.5197444639314215,4.698171518004866,0.22254923958083328,4.924517610221546,5.318490181502612,0.7586553360644013,2.9363755848227733,0.33313476956460447,33,0.013932758467619351,0.1732591335668567
20250930_1063,2025-09-30T20:07:53.536000,1.02087,SDSSu,10820,11.6,12.2,20 20 25.67,+21 05 00.2,78.38362269308413,125.62578300754637,4.40070441309834,4.942067657466826,0.25716341166162415,4.9844757899784735,5.84956056823331,0.9257694155347105,2.581541360160961,0.1315107452743336,32,-0.18409473009581417,0.16714390359828032
20250930_1064,2025-09-30T20:08:28.696000,1.02049,SDSSu,10820,11.6,12.2,20 20 25.67,+21 05 00.2,78.48846855596358,126.06560617849789,4.298041453823528,4.712671243893032,0.3249629558624543,5.076335387894186,5.531655362948841,0.8494554781940691,2.794792185780908,0.023279535611586345,30,-0.37398175250838545,0.12412424033868592
20250930_1065,2025-09-30T20:09:04.577000,1.02011,SDSSu,10820,11.6,12.2,20 20 26.67,+21 05 00.2,78.59191180789155,126.50930746625207,4.534286657769191,4.795012100675609,0.25754599784760757,5.164847611846588,5.9968368366285505,0.954296073858238,2.772886331268709,0.21836093592435252,36,-0.270257925726939,0.014299716347130016
20250930_1066,2025-09-30T20:09:39.944000,1.01974,SDSSu,10820,11.6,12.2,20 20 26.67,+21 05 00.2,78.69617557090949,126.96685986454689,4.425481250674468,4.69545834387544,0.22145263154012795,5.00028079906526,5.667654463763501,0.8932352330939466,2.7396677731343484,0.23089194600558907,31,-0.04231849649452488,-0.01058022473836536
20250930_1067,2025-09-30T20:10:15.054000,1.01937,SDSSu,10820,11.6,12.2,20 20 25.67,+21 05 00.2,78.80196760140593,127.44216463067215,5.003385335539753,4.885229291428331,0.20440642252268848,5.611342837680562,5.442656442027371,0.5571731074557231,3.3556412017640143,-0.048400989602101444,31,-0.1573358877632627,-0.028756378527246853
20250930_1068,2025-09-30T20:10:53.351000,1.01898,SDSSu,10820,18.5,12.3,20 20 25.67,+21 05 00.2,78.91344050186625,127.95543319417,5.03955319781373,5.266586442705773,0.15285336117006043,5.697600135936126,5.989085847512783,0.8297680856355072,2.9487048732385883,0.20599643825630995,26,-0.06291090383522532,-0.02821312767993368
20250930_1069,2025-09-30T20:11:28.551000,1.01863,SDSSu,10820,18.5,12.3,20 20 25.67,+21 05 00.2,79.01520831628137,128.43571780137464,4.700220212677349,5.022953709186838,0.15464287582572567,5.291617554272192,6.036487766946044,0.9517912376585169,2.794187916685275,0.048093331492355125,31,-0.15829685269560287,0.06223085863410234
