INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20250322_1112,2025-03-22T22:06:55.730000,1.46473,n20Ha[NII],9356,0.0,0.0,05 34 33.89,+22 01 25.7,42.99470166817535,274.62992103666994,7.71377378961566,8.387875399345305,0.628549766048204,8.65320137910388,9.767223900515264,0.92568037013916,2.487132954990804,0.18492549153565577,26,0.0,0.0
20250322_1113,2025-03-22T22:15:30.247000,1.51879,n24Hared,9356,0.0,0.0,05 34 34.89,+22 01 27.7,41.113182661177596,275.49743788188556,5.50770410140018,6.816004484835366,0.476355339123991,5.76053116108895,7.309623766748477,0.601039922968237,2.045022579063151,0.35040894709859577,203,0.08535498505684677,-0.16418918763091359
20250322_1114,2025-03-22T22:24:10.926000,1.57965,n24Hared,9356,0.0,0.0,05 34 33.89,+22 01 31.7,39.204749519711136,276.36488082057986,7.981300279509456,9.32645728520237,1.5709511602362856,7.904921490679335,8.786807164375137,1.5958501897205615,2.5584345694374306,0.22608006943319772,237,1.4731167765842912,0.2905774228266796
20250322_1115,2025-03-22T22:32:48.205000,1.64649,n24Hared,9356,0.0,0.0,05 34 35.89,+22 01 32.8,37.32256658070132,277.20926501201205,6.936297579044155,7.66132195820038,0.3499118751430448,7.267968540750493,8.094051000277382,0.505796275618251,2.6024318260403003,0.23499723957491975,234,0.0,0.0
20250322_1117,2025-03-22T22:43:59.519000,1.74523,n6[OIII],9300,0.0,0.0,05 34 35.89,+22 01 38.8,34.87618298404131,278.29813340132887,7.049050759595774,7.998170870219214,2.1789678063913955,9.234074157645718,10.201022608744955,4.363665454096832,2.191696982268077,0.32074655754497494,77,0.0,0.0
20250322_1118,2025-03-22T22:52:36.872000,1.83176,n6[OIII],9300,0.0,0.0,05 34 36.89,+22 01 41.8,32.9988847250304,279.12827950747356,7.487793690257036,8.36821416672945,1.0177243133306977,9.906117571419813,10.477403946909135,1.72705338865239,2.3391671871554713,0.27709514805763247,71,0.0,0.0
20250322_1119,2025-03-22T23:01:16.459000,1.93004,n6[OIII],9300,0.0,0.0,05 34 35.89,+22 01 45.8,31.110729686077367,279.9618896037111,7.545390326569407,8.484221035573484,0.5407508264358292,9.999999999201684,10.882560110074518,1.2595720559478991,2.541377771601983,0.23491903921688617,72,0.0,0.0
20250322_1123,2025-03-22T23:24:12.161000,1.33182,R,9371,0.0,0.0,09 55 56.08,+69 40 21.4,48.61115837975712,356.9746058960952,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,0.20853717911176475,139,0.0,0.0
20250322_1126,2025-03-23T00:00:29.012000,1.47237,n20Ha[NII],9371,0.0,0.0,12 39 59.22,-11 36 47.5,42.7121580711009,144.28638261237674,7.956638181090783,6.631077006375722,0.36362903876136876,8.351078711575516,6.644647893030228,0.6967447065793859,3.872181627041588,0.3179642496044989,9,0.0,0.0
20250322_1127,2025-03-23T00:25:30.206000,1.39724,n20Ha[NII],9371,0.0,0.0,12 39 58.22,-11 36 47.5,45.639623475935316,151.82466304251673,6.656774329487073,5.133894170631228,0.7304373822592254,7.546187380596443,5.8198348758985565,0.6478598976180727,4.999999999927818,0.48613765486521615,11,0.0,0.0
20250322_1128,2025-03-23T00:32:09.514000,1.38161,n20Ha[NII],9371,0.0,0.0,12 39 58.22,-11 36 46.5,46.30918996896749,153.96844820995,6.275418260052703,6.008500348936531,5.649268514768807,9.999999999999998,10.219651180993836,5.7388388793318015,2.987872646244792,0.12393153765951215,20,0.0,0.0
20250322_1129,2025-03-23T00:37:42.745000,1.36986,n20Ha[NII],9371,0.0,0.0,12 39 59.22,-11 36 45.5,46.828287325407594,155.79538249307666,7.535102999694098,5.893545349869635,0.9648487881882097,8.39101753291667,6.4713920274227466,0.6125953023311075,3.868399299082007,-0.011011355330073469,13,0.0,0.0
20250322_1130,2025-03-23T00:40:52.448000,1.36365,n20Ha[NII],9371,0.0,0.0,12 39 58.22,-11 36 51.5,47.10839358515249,156.8622563889749,8.01719092267045,6.703210348901348,6.001649444905693,8.691523631471346,6.703150850100152,9.0749920426932,2.9395665136699547,-0.550364281332244,15,0.0,0.0
20250322_1131,2025-03-23T00:47:01.933000,1.35256,R,9371,0.0,0.0,12 39 59.22,-11 36 50.5,47.61849682237075,158.9563133151109,9.999999999999998,15.328418730817592,0.5640743378709558,9.999999999999998,15.328418730817592,9.35945649871428e-08,1.5000000000000002,0.5449530352653341,148,0.0,0.0
20250322_1132,2025-03-23T00:47:47.982000,1.35126,R,9371,0.0,0.0,12 39 59.22,-11 36 50.5,47.67895944598193,159.2211201541087,9.999999999999998,15.328418730817592,8.294549198759935,9.999999999999998,15.328418730817592,7.414242964334324,1.5000000000000002,-0.059012657428965665,138,0.0,0.0
20250322_1133,2025-03-23T00:48:33.645000,1.35000,R,9371,0.0,0.0,12 39 59.22,-11 36 50.5,47.73819151383742,159.48437074230532,9.999999999999998,15.328418730817592,8.87963189173258,9.999999999999998,15.328418730817592,8.536531980496846,1.5000000000000002,0.027994549275406844,116,0.0,0.0
20250322_1134,2025-03-23T00:49:18.982000,1.34874,R,9371,0.0,0.0,12 39 58.22,-11 36 50.5,47.797553530656174,159.75216477608416,9.999999999999998,15.328418730817592,8.643818837392097,9.999999999999998,15.328418730817592,8.339148492477262,1.5000000000000002,0.019747824210676904,125,0.0,0.0
20250322_1135,2025-03-23T00:50:04.303000,1.34754,R,9371,0.0,0.0,12 39 59.22,-11 36 50.5,47.85364132514559,160.0089580573228,9.999999999999998,15.328418730817592,5.476957607876997,9.999999999999998,15.328418730817592,4.490659520981412,1.5000000000000002,-0.08547206559115925,168,0.0,0.0
20250322_1136,2025-03-23T00:54:08.289000,1.34130,R,9371,0.0,0.0,12 39 59.22,-11 36 49.5,48.15026222795552,161.43314780591328,9.999999999999998,15.328418730817592,9.57567184020353,9.999999999999998,15.328418730817592,9.305498475556218,1.5000000000000002,0.2720471182966559,158,0.0,0.0
20250322_1137,2025-03-23T00:59:55.177000,1.33332,R,9371,0.0,0.0,12 39 58.22,-11 36 48.5,48.53617611501786,163.4939327841178,9.999999999999998,15.328418730817592,9.542187203491892,9.999999999999998,15.328418730817592,9.161576089729849,1.5000000000000002,0.10214325081259253,145,0.0,0.0
20250322_1138,2025-03-23T01:05:10.351000,1.32701,R,9371,0.0,0.0,12 39 58.22,-11 36 50.5,48.84664306441435,165.38951632858104,9.999999999999998,15.328418730817592,8.365094676869113,9.999999999999998,15.328418730817592,8.481554364380306,1.5000000000000002,0.0695870259343628,122,0.0,0.0
20250322_1139,2025-03-23T01:10:56.118000,1.32106,V,9371,0.0,0.0,12 39 59.22,-11 36 49.5,49.14431647063848,167.49056782581638,9.999999999999998,15.328418730817592,6.400267806374563,9.999999999999998,15.328418730817592,6.359428677562793,1.5000000000000002,0.04678660507784414,102,0.7207176962129179,0.7581343754289714
20250322_1140,2025-03-23T01:16:12.049000,1.31645,V,9371,0.0,0.0,12 39 58.22,-11 36 48.5,49.37769462759727,169.4446209131381,9.999999999999998,15.328418730817592,5.70596200905605,9.999999999999998,15.328418730817592,5.640133397881115,1.5000000000000002,0.9154773548755646,120,0.649380390704779,0.6197659938710794
20250322_1141,2025-03-23T01:21:28.093000,1.31270,V,9371,0.0,0.0,12 39 59.22,-11 36 50.5,49.569939930748966,171.4056997922323,9.999999999999998,15.328418730817592,6.664992810018408,9.999999999999998,15.328418730817592,6.829426855142028,1.5000000000000002,0.48288972021122684,127,0.8062782889664623,0.8313243989857374
20250322_1142,2025-03-23T01:27:18.228000,1.30943,B,9371,0.0,0.0,12 39 58.22,-11 36 49.5,49.738670427738036,173.608980540322,9.999999999999998,15.328418730817592,0.0010514437640676277,9.999999999999998,15.328418730817592,0.0016232202179580213,1.5000000000000002,0.4077747931832506,144,1.2641569496261118,-0.22715276502901088
20250322_1143,2025-03-23T01:32:33.847000,1.30733,B,9371,0.0,0.0,12 39 59.22,-11 36 48.5,49.84783382907046,175.59542457587102,9.999999999999998,15.328418730817592,1.0858406069406676,9.999999999999998,15.328418730817592,0.07831340713283907,1.5000000000000002,0.1814834154708613,144,1.3557533706203801,-0.14251894408759042
20250322_1144,2025-03-23T01:37:49.158000,1.30602,B,9371,0.0,0.0,12 39 59.22,-11 36 48.5,49.91673419108207,177.59424918278273,9.999999999999998,15.328418730817592,7.566236761587307,9.999999999999998,15.328418730817592,7.487901174754329,1.5000000000000002,0.16886732388923079,134,1.3042153326469343,-0.11282805376851048
20250322_1146,2025-03-23T02:06:52.587000,1.52254,n20Ha[NII],9371,0.0,0.0,09 56 03.11,+69 40 29.5,40.993714333854584,340.3925482207856,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-20.978947027611895,330,0.0,0.0
20250322_1147,2025-03-23T02:17:08.088000,1.54651,n20Ha[NII],9371,0.0,0.0,09 56 04.11,+69 40 35.5,40.22289669349934,339.789201467846,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-0.5294607375498023,371,-0.006772449679844613,0.04119160287530258
20250322_1148,2025-03-23T02:27:24.095000,1.57222,n20Ha[NII],9371,0.0,0.0,09 56 06.12,+69 40 39.5,39.43174880276504,339.24192003723806,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,32.48277445690269,349,-0.04344517656076323,0.03670461382543203
20250322_1149,2025-03-23T02:37:39.094000,1.59981,n20Ha[NII],9371,0.0,0.0,09 56 06.12,+69 40 43.5,38.62017747019204,338.749375242744,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-0.018292860789030425,346,-0.06548155955028279,0.012760351545225831
20250322_1150,2025-03-23T02:47:55.148000,1.62934,n20Ha[NII],9371,0.0,0.0,09 56 07.12,+69 40 49.5,37.791253628246835,338.3122192746142,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-56.38433798442,346,-0.044478053901048954,0.06309537527068641
20250322_1151,2025-03-23T02:58:10.357000,1.66091,n20Ha[NII],9371,0.0,0.0,09 56 07.12,+69 40 52.6,36.94739914512528,337.9278409633923,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-27.107467590155323,359,-0.10035293029302511,-0.023096935507133824
20250322_1152,2025-03-23T03:06:25.742000,1.68784,V,9371,0.0,0.0,09 56 08.12,+69 40 58.6,36.25942903603371,337.6583821601344,9.999999999999998,15.328418730817592,4.020873358166201,9.999999999999998,15.328418730817592,3.2485338809692745,1.5000000000000002,1.7193391172301615,88,-0.02321076579360215,0.014215146645885399
20250322_1153,2025-03-23T03:11:41.017000,1.70576,V,9371,0.0,0.0,09 56 08.12,+69 41 02.6,35.81679013264483,337.5041295378587,9.999999999999998,15.328418730817592,2.5591092551241985,9.999999999999998,15.328418730817592,2.089321750500373,1.5000000000000002,1.7582939273254172,87,0.055472217266931696,-0.03488158859259329
20250322_1154,2025-03-23T03:17:31.800000,1.72640,B,9371,0.0,0.0,09 56 08.12,+69 41 04.6,35.32125584767605,337.3474988824415,9.880186329604204,14.751000234524195,0.8065951187960927,9.999999999999998,14.989451621110655,0.5096440969648484,1.5532486613684435,-0.7419605308360779,76,0.1302889451482629,0.1252386813269884
20250322_1155,2025-03-23T03:22:47.221000,1.74556,B,9371,0.0,0.0,09 56 09.12,+69 41 08.6,34.874328346398045,337.22179743914967,9.999999999999998,13.956062607626398,2.063888308322584,9.999999999999998,13.923363082369503,1.62607468422852,1.739154736924824,-1.3641472360297109,69,0.016670572785258627,-0.08088142035265673
20250322_1156,2025-03-23T03:28:08.291000,1.76577,R,9371,0.0,0.0,09 56 09.12,+69 41 09.6,34.41586059665317,337.10588235181035,9.999999999999998,15.328418730817592,1.7638567896242048,9.999999999999998,15.328418730817592,1.7917607062757774,1.5000000000000002,-1.4461236150721224,111,0.05711964637795518,0.18798810154907347
20250322_1157,2025-03-23T03:33:24.126000,1.78632,R,9371,0.0,0.0,09 56 09.12,+69 41 11.6,33.962802585404695,337.00529009584017,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,3.378568928667997,101,0.027361374704537866,0.17887072385052422
