INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20250730_1103,2025-07-30T21:31:55.255000,1.15702,SDSSu,11431,10.5,18.8,14 45 08.97,+41 01 47.5,59.76867131685582,303.6223512338814,7.014354587125104,6.966683082990489,0.20027691779503076,7.258574574327843,7.330500707434989,0.28700670322376176,3.0269162008757866,-0.07928088502457772,8,0.0,0.0
20250730_1104,2025-07-30T21:32:45.012000,1.15878,SDSSg,11431,10.5,18.8,14 45 09.98,+41 01 47.5,59.61926723864317,303.5491934340627,7.144215451368293,7.04495684382469,0.1977643855199842,8.077817578710969,8.370020641156444,1.4912801303161523,3.1986753569899338,0.14530001907579262,27,0.0,0.0
20250730_1105,2025-07-30T21:33:26.276000,1.16032,SDSSr,11431,10.5,18.8,14 45 08.97,+41 01 47.5,59.48962815249459,303.4868178188574,6.189299051067833,6.240952089839197,0.22218028728992323,6.7265218704517515,6.8060571450423755,1.2653913138748685,3.0759295973774234,0.3777031636611667,36,0.0,0.0
20250730_1106,2025-07-30T21:34:07.922000,1.16181,SDSSi,11431,10.5,18.8,14 45 09.98,+41 01 47.5,59.36489589488639,303.4278067114752,6.782672334869021,7.01403358365666,0.15598573374152647,8.58046506992057,8.699220002266935,0.8299308685953264,3.078809479330288,0.010628935571054689,34,0.0,0.0
20250730_1107,2025-07-30T21:34:59.697000,1.16372,SDSSz,11431,10.5,18.8,14 45 09.98,+41 01 47.5,59.20586951839279,303.35392230406933,7.159530620767723,7.274831493616681,0.2103488638126647,9.999999999999968,10.12864184588554,1.8542393378630404,2.839957347839246,0.13988507454126273,27,0.0,0.0
20250730_1108,2025-07-30T21:37:36.440000,1.01598,SDSSu,11431,10.6,18.8,16 19 27.99,+29 42 50.7,79.81811431407392,280.42284897023666,6.7117674086112915,7.083979355411077,0.3898441136753332,9.999999999999991,10.383820546233837,1.4133275161070955,2.9042092224690443,0.053270617511963964,13,0.0,0.0
20250730_1109,2025-07-30T21:38:39.225000,1.01671,SDSSg,11431,10.6,18.8,16 19 27.99,+29 42 50.7,79.59091921605214,280.31832088010145,5.897303156078035,5.815691355708183,0.2938014118243215,6.436185012254118,6.433799414386945,0.501401451349536,3.1367162355359484,0.27830429319784267,60,0.35556349076310656,-0.9216979818694636
20250730_1110,2025-07-30T21:39:19.450000,1.01718,SDSSr,11431,10.6,18.8,16 19 27.99,+29 42 50.7,79.44532154063452,280.25516873363557,5.746461924710823,4.874680946177304,0.23240371588786868,5.940167889489391,5.09116353632911,0.5775708480397634,4.044791023319124,0.2999829107420754,79,0.9606767480885537,1.2588697290786404
20250730_1111,2025-07-30T21:39:56.452000,1.01763,SDSSi,11431,10.6,18.8,16 19 27.99,+29 42 50.7,79.3113646799631,280.1995851032277,4.304420386829465,4.603591279783693,0.16767433747255822,4.506167839138072,4.868384834395748,0.57833064908671,2.765841564318629,0.09650855650356083,94,0.0,0.0
20250730_1112,2025-07-30T21:40:48.183000,1.01826,SDSSz,11431,10.6,18.8,16 19 27.99,+29 42 50.7,79.1240468685302,280.1257340092173,5.266286963177956,5.051235192848165,0.3812929381607155,9.999999999999893,9.12995204560779,0.6544882352434271,3.421044308034853,0.030934395072101592,48,1.2606892087519384,0.692155851512438
20250730_1113,2025-07-30T21:46:25.830000,1.51827,SDSSu,11431,10.7,18.7,18 14 18.40,+76 40 20.2,41.12863358286736,4.375349393680715,9.157537401960974,8.136314710571144,0.4050450083317685,9.999999410070018,8.646821274128223,0.6750756550983752,3.3742920304264175,0.5129986313116365,15,0.0,0.0
20250730_1114,2025-07-30T21:47:27.236000,1.51776,SDSSg,11431,10.7,18.7,18 14 18.40,+76 40 20.2,41.14571953867258,4.300226135835552,7.738806925954282,6.303029504346666,0.36830575639850416,8.329721338511057,6.889273300823181,1.2742281207937323,4.758997919420365,0.10515486522960285,66,1.2948603770730407,-0.26643496452493676
20250730_1115,2025-07-30T21:48:10.080000,1.51741,SDSSr,11431,10.7,18.7,18 14 19.39,+76 40 20.2,41.15718687691525,4.248937646189507,6.481587716817972,5.6271931820506085,0.23010919969925947,8.273173546268028,7.208964846875223,1.5973610420757414,3.9881454004094716,0.14641921439860836,77,0.0,0.0
20250730_1116,2025-07-30T21:48:51.747000,1.51707,SDSSi,11431,10.7,18.7,18 14 19.39,+76 40 20.2,41.16847530787885,4.197822194620089,5.2996596199054355,5.180069923632076,0.33472863943609354,6.842022849452681,6.40865433657928,1.231739911998825,3.1686503993610238,-0.0028725831357532,90,0.0,0.0
20250730_1117,2025-07-30T21:49:43.460000,1.51665,SDSSz,11431,10.7,18.7,18 14 18.40,+76 40 20.2,41.182567143996486,4.133086302936111,7.614843869744089,7.882513210445882,0.39011580148951097,9.999999999999993,9.93700397963551,1.6115044128775367,3.0109692852963046,0.24090976907228878,54,0.0,0.0
20250730_1118,2025-07-30T21:52:14.089000,1.34749,SDSSu,11431,10.6,18.8,19 18 18.13,+66 24 01.1,47.858041275301886,16.93047870861252,8.782647365913796,9.59986490870932,0.14585737731151305,9.999999999999819,10.57764012824913,0.9268280654762702,2.634535448239303,0.39673088300585624,26,0.0,0.0
20250730_1119,2025-07-30T21:53:14.250000,1.34617,SDSSg,11431,10.6,18.8,19 18 20.12,+66 24 01.1,47.92014731772153,16.81913228569304,7.607890389115556,7.354590940238833,0.24571289926278084,8.76157100413863,8.440667380419422,0.8994901333555951,3.300982288872247,0.254907443125739,109,0.38769197128943783,0.3509813117976592
20250730_1120,2025-07-30T21:53:53.367000,1.34527,SDSSr,11431,10.6,18.8,19 18 19.12,+66 24 01.1,47.962760863213504,16.74200372679061,8.914356123327737,8.386895769274581,0.3619286428956485,9.979930058112714,9.003752453592192,0.9089362539301717,3.4784131485157235,0.3106955972294309,129,0.4806504829104306,-0.06911161121445912
20250730_1121,2025-07-30T21:54:28.266000,1.34452,SDSSi,11431,10.6,18.8,19 18 20.12,+66 24 01.1,47.99860901192568,16.676578247974106,6.698875361774897,7.0606884532932295,0.42448209321676167,7.937349329199726,8.152182547473071,1.1484093031698874,2.8944093132648954,0.05984261541723204,108,0.42605938389561926,-1.4463926809381011
20250730_1122,2025-07-30T21:55:11.164000,1.34357,SDSSz,11431,10.6,18.8,19 18 20.12,+66 24 01.1,48.043785851838386,16.59349412706452,7.190801244376089,7.158785835580056,0.4214397169592994,9.99999999999995,9.628432102805508,1.0764236789060178,3.1277033394301803,0.14892625932201692,73,0.0,0.0
20250730_1123,2025-07-30T22:00:15.524000,1.12219,SDSSu,11431,10.4,18.7,19 27 56.68,+24 20 55.0,62.979976112381955,91.3182080669068,6.727459645001347,6.493341652026256,0.15711517029267785,7.242228894446475,6.907606079137795,0.5448221401801261,3.4277764026094797,0.06995639509836257,17,0.0,0.0
20250730_1124,2025-07-30T22:01:20.390000,1.11979,SDSSg,11431,10.4,18.7,19 27 55.69,+24 20 55.0,63.222158930712375,91.46024677620484,7.1824278430316095,6.2521419791923005,0.2016540050308322,9.999999999864206,8.52266284722485,0.509200411281256,3.9735258390885377,-0.034465238596031025,386,0.0,0.0
20250730_1125,2025-07-30T22:02:01.385000,1.11831,SDSSr,11431,10.4,18.7,19 27 55.69,+24 20 56.0,63.37298745168966,91.54872306283966,5.767116906833695,5.405988989866826,0.2755318374910125,6.954496279349769,6.436456940707227,0.8861024381111546,3.3963127909299278,0.1955584421854743,780,0.0,0.0
20250730_1126,2025-07-30T22:02:30.484000,1.11727,SDSSi,11431,10.4,18.7,19 27 55.69,+24 20 56.0,63.47999339842177,91.61226421350041,4.0303292616459885,4.337398666135119,0.3016953332869292,4.7535646773252545,4.994326186334895,1.1603415774385226,2.744304380817119,0.34605589595366837,1598,0.0,0.0
20250730_1127,2025-07-30T22:03:04.788000,1.11605,SDSSz,11431,10.4,18.7,19 27 55.69,+24 20 56.0,63.60613541636342,91.68751365956545,4.380390243566574,4.913557609905553,0.3572982986988418,6.000417178630587,6.610669271539534,1.205761822933499,2.5196123147486835,-0.06770976053511407,1042,0.0,0.0
20250730_1128,2025-07-30T22:06:48.742000,1.24704,SDSSu,11431,10.2,18.6,14 45 09.98,+41 01 53.5,53.26959984853827,301.50125087641356,9.185385659876575,7.540266116952595,0.06416879390294739,9.99999999999988,8.260705245636302,0.21081382186434539,4.400519892145823,0.16251745853979185,7,0.0,0.0
20250730_1129,2025-07-30T22:07:36.031000,1.24946,SDSSg,11431,10.2,18.6,14 45 09.98,+41 01 53.5,53.121252282383566,301.4734807380176,8.674404745702216,8.812778552133395,0.24720739598064156,9.370507126022478,9.262530795290807,1.2508292041548223,2.9580346488159224,0.05081039515675542,24,0.0,0.0
20250730_1130,2025-07-30T22:08:17.275000,1.25162,SDSSr,11431,10.2,18.6,14 45 08.98,+41 01 53.5,52.98870839359434,301.44929704871095,8.161190146789902,8.427609054565979,0.3259371625198746,8.899797989321785,8.893426698598507,0.8203360510238138,3.0129207658613977,0.16304981819960535,30,0.0,0.0
20250730_1131,2025-07-30T22:08:58.998000,1.25373,SDSSi,11431,10.2,18.6,14 45 09.98,+41 01 53.5,52.86087714061902,301.42656068114957,8.906331677413936,8.73007742742514,0.32078578872113894,9.999999999984452,9.71919655293153,0.8447275279231636,3.2493772406773633,0.05598131510982909,29,0.0,0.0
20250730_1132,2025-07-30T22:09:50.888000,1.25648,SDSSz,11431,10.0,18.6,14 45 08.98,+41 01 53.5,52.694839832405236,301.39782306874827,6.6524297417660865,6.953057070202587,0.5774848754915798,9.111719783729239,8.90535737647984,3.041032176679071,2.76138539600933,0.2777230000151638,31,0.0,0.0
20250730_1133,2025-07-30T22:12:27.683000,1.05000,SDSSu,11431,10.0,18.6,16 19 27.99,+29 42 49.7,72.23165818462964,279.2741043108632,5.628584621825405,6.442474626567293,0.20512023159755888,9.999999999999703,11.16108270469946,0.8402068992257608,2.4803921955219974,0.06945570530591787,16,0.0,0.0
20250730_1134,2025-07-30T22:13:30.239000,1.05136,SDSSg,11431,10.0,18.6,16 19 26.99,+29 42 49.7,72.00092483818207,279.283134926856,7.321212324212683,6.536769828505964,0.27277781985977256,7.935469994696818,7.034776552885437,0.7012188635173242,3.8565626892854286,0.3443346966829132,49,0.0,0.0
20250730_1135,2025-07-30T22:14:10.166000,1.05223,SDSSr,11431,10.0,18.6,16 19 26.99,+29 42 49.7,71.85596994720056,279.2895823659648,5.819418302797701,5.991702655068042,0.2243032161410321,6.06383113241607,6.15196949627671,0.6920692968107627,2.962061868636032,0.14884547264392578,65,0.0,0.0
20250730_1136,2025-07-30T22:14:48.243000,1.05306,SDSSi,11431,10.0,18.6,16 19 26.99,+29 42 49.7,71.71773406878259,279.29625909838586,5.871065822327063,5.560168766617401,0.2846840231403833,6.417016602590953,6.231251728432483,0.39686782280593924,3.418017278409483,0.33849149811422696,72,0.0,0.0
20250730_1137,2025-07-30T22:15:40.047000,1.05419,SDSSz,11431,9.8,18.7,16 19 27.99,+29 42 49.7,71.53328633158186,279.3059805378652,5.7726593782950655,5.624635186024918,0.45548234018326195,7.8273143248774,7.503942773374632,1.331482412645073,3.2179053885881426,-0.028886260325716,50,0.0,0.0
20250730_1138,2025-07-30T22:21:16.932000,1.50598,SDSSu,11431,9.8,18.7,18 14 21.39,+76 40 20.1,41.5408263973633,1.7580341042572472,8.73927505177733,9.089126427893444,0.2930010781758785,9.501751903372163,9.996241145494459,0.3179311146107171,2.8227379865933386,0.6493314535219252,20,0.0,0.0
20250730_1139,2025-07-30T22:22:19.006000,1.50578,SDSSg,11431,9.6,18.7,18 14 21.39,+76 40 20.1,41.547674048388934,1.6787350507916672,8.379562131246592,7.599298258204925,0.204067245840446,9.731170125438442,8.394853649996303,0.815197817887217,3.699307982162723,0.2863866749610904,60,0.0,0.0
20250730_1140,2025-07-30T22:23:01.726000,1.50565,SDSSr,11431,9.6,18.7,18 14 21.39,+76 40 20.1,41.552203105496346,1.6241280156955609,8.55145140359149,8.468609150886177,0.3784746395743923,9.91694680989221,9.441658804080042,0.7810926366179096,3.166488279845849,0.3012269025039106,76,0.0,0.0
